wallet_id,aggregated_lp_score,num_deposits,num_withdrawals,avg_holding_days,min_holding_days,max_holding_days,liquidity_percent_remaining,retained_liquidity,lp_volatility_stddev,dust_deposit_count,dust_deposit_volume,total_deposit_all_time,total_withdraw_all_time
0x0e6c6653d2178b3da85d5a4088adf51bed0ea344,49.45,4.0,1.0,0.0,0.0,0.0,0.0,-1.165583,0.0,2.0,1.15939,0.0,1.165583
0x0cfcd54a832e56df88507917c05b4f5391aeaf12,64.4,7.0,2.0,0.0,0.0,0.0,0.0,-11.584437,0.0,4.0,11.987073,0.0,11.584437
0x0d8751c9f081e93776e8baa91b1cb932116e3956,569.25,2.0,2.0,74.04435185,74.04435185,74.04435185,0.0,-0.44302,0.0,0.0,0.0,298.459969,298.902989
0x0d53750b6a1c1d68e62f772e8824e61c557275e7,443.9,2.0,3.0,12.881875,12.881875,12.881875,0.0,-0.111931,0.0,0.0,0.0,12121.55178,12121.66371
0x0d3b8744600da2e200d2a46f676fd5a29b7bd1bc,58.65,6.0,3.0,0.0,0.0,0.0,0.0,-5.439045,0.0,3.0,5.407192,0.0,5.439045
0x0dfb4ec871b9d9f6a0d6877ff9fd8e93d02ce212,265.65,2.0,1.0,0.001134259,0.001134259,0.001134259,1.56915e-05,0.008429,0.0,0.0,0.0,537.170731,537.162302
0x0cb8b4cdc709df3e125c3cd446437b54d749978f,302.45,2.0,1.0,0.022847222,0.022847222,0.022847222,0.0,-0.298096,0.0,0.0,0.0,675.841583,676.139679
0x0e21755c668c41bc0be6d63d0a932735cc20113f,724.5,2.0,0.0,1163.960127,1163.960127,1163.960127,1.0,593.043891,0.0,0.0,0.0,593.043891,0.0
0x0e1cfef85d4e4eaf383dfa65fa3789c9a91b85f9,435.85,662.0,175.0,102.7303668,0.011053241,271.0460866,0.0,-1381.362294,2560.835697,39.0,1414.914421,1156828.961,1158210.324
0x0f2597ffe69cddd29a0c6e216eff631d778ea99c,379.5,12.0,6.0,3.521778549,0.332939815,12.27336806,0.0,-94.108864,5422.223165,0.0,0.0,35625.77786,35719.88672
0x0ed5fd85f1302fedd08a70d625b241dda41f3309,476.1,2.0,1.0,1.820162037,1.820162037,1.820162037,0.000295963,35.53396372,0.0,0.0,0.0,120062.2321,120026.6982
0x0e7a7e5be7ace74a46186df158ba1ddbfc4966d2,434.7,12.0,21.0,79.01726006,3.903101852,226.4632154,0.0,-192.8981764,129729.8738,0.0,0.0,918356.7603,918549.6585
0x0f6d8f2fc353cd99af1383d30d86b8ef3acb58b4,274.85,2.0,1.0,0.006666667,0.006666667,0.006666667,0.0,-0.13035,0.0,0.0,0.0,654.148376,654.278726
0x0f9cf78002d256a033323ced7f236a96c7bbf01c,279.45,4.0,3.0,516.6991378,59.79883102,973.5994446,0.0,-1752.190019,1428.120213,0.0,0.0,3493.917307,5246.107326
0x0f96827fa1ed71623791570d29e6b3b95bb1ac6a,96.6,8.0,2.0,0.0,0.0,0.0,0.0,-3.427419,0.0,4.0,3.407816,0.0,3.427419
0x0f90c75d718822d2a5544241ea38277f498003a5,547.4,150.0,158.0,161.3547851,0.000578704,421.1964779,0.0,-2041.944206,9001.107086,32.0,1134.10692,203912.008,205953.9522
0x0f460129345f9db8e0fb1d1a61ab0b5f6b1292a3,48.3,6.0,1.0,0.0,0.0,0.0,0.0,-2.140253,0.0,3.0,2.539678,0.0,2.140253
0x1015751c3979560bf2d645f330bac0c1234ac6b6,324.3,2.0,1.0,0.956747685,0.956747685,0.956747685,0.0,-0.010438,0.0,0.0,0.0,387.143877,387.154315
0x0ff33fe9bfd306b4973d94c5c02d43fd28fdcae3,57.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.325774,0.0,0.0
0x0ff10dfb025b6d4641e28bc02284b8ea9d1952b1,424.35,8.0,3.0,258.64044,0.573194444,1005.411043,0.0,-0.946392,182.0931501,0.0,0.0,924.606,925.552392
0x10273412024421e0a61c994e5d40ad9310a33d29,64.4,6.0,1.0,0.0,0.0,0.0,0.0,-2.207553,0.0,3.0,2.228993,0.0,2.207553
0x1137223c3885692341a203a6e4f5fc144b1fe7af,75.9,8.0,3.0,0.0,0.0,0.0,0.0,-1.637247,0.0,4.0,1.688236,0.0,1.637247
0x1134691ad5cddb963df4dd7d391f8ef738ccc1f0,46.0,8.0,1.0,0.0,0.0,0.0,0.0,-1.149933,0.0,4.0,1.2030021229999999,0.0,1.149933
0x1097ce2ccc75665b663398dbecf748faa642c9c8,336.95,2.0,1.0,1.669027778,1.669027778,1.669027778,0.0,-0.011589,0.0,0.0,0.0,1007.324581,1007.33617
0x100f7634a4f9f2e6c09378c2dccb27e22322f5e0,724.5,2.0,0.0,1035.920099,1035.920099,1035.920099,1.0,100.0,0.0,0.0,0.0,100.0,0.0
0x10dbc99c90234e4447f0366e8368d688f622475a,62.1,6.0,3.0,0.0,0.0,0.0,0.0,-15.524327,0.0,3.0,15.319629,0.0,15.524327
0x110eb927368c8173ddff27744db046939c66cc4d,348.45,5.0,1.0,9.129780093,9.129780093,9.129780093,0.0,-54.77388346,0.0,3.0,54.04784446,943.4205963,998.1944797
0x11a7caaed3cc7108333f5fb80517fb5010af9882,65.55,6.0,1.0,0.0,0.0,0.0,0.0,-1.176354,0.0,3.0,1.218992,0.0,1.176354
0x111b94f9e7fe97ff12914cd3abf0ff2ad86be1af,58.65,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.055514,0.0,0.0
0x102242dad3e29812a8a0d8cb96a580c033c97cd6,181.7,4.0,4.0,1.195920139,1.104386574,1.287453704,0.0,-0.192555,404.2559593,0.0,0.0,1597.789164,1597.981719
0x110702fca4f323ed43bc57c78d00bc5ee31d982b,60.95,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.273909,0.0,0.0
0x11751a013a41bef953bf56d2c6e1d5f6a5aa7891,57.5,6.0,2.0,0.0,0.0,0.0,0.0,-4.692424,0.0,3.0,4.705077,0.0,4.692424
0x11bc1fe797da8428ff275c9ad3c02971ce8ba104,115.0,2.0,2.0,0.0,0.0,0.0,0.0,-2.56907979,0.0,1.0,0.666982315,0.0,2.56907979
